change_id,week,change_type,component_area,synthetic_component_id,branch_type,validation_level,environment_profile,files_changed,lines_added,lines_deleted,modules_touched,author_experience_months,prior_failures_90d,historical_failure_rate,pipeline_duration_min,coverage_delta_pct,tests_impacted_count,critical_files_touched,documentation_refs_count,open_defects_linked,release_pressure_score,reviewer_count,validation_gap_count,readiness_score,recommended_validation_scope,failure_category,high_risk_change
CHG-00022,8,feature,functional_area_b,CMP-017,release_candidate,broad_regression_checks,profile_standard,11,216,66,2,61.2,0,0.044,465.0,1.51,293,0,2.0,0,80.0,3,1,62.2,expanded_validation,none,0
CHG-00023,4,test,functional_area_c,CMP-016,development,integrated_checks,profile_standard,10,210,105,2,18.1,1,0.231,29.7,-3.8,21,0,3.0,0,88.5,3,1,60.6,broad_validation,none,0
CHG-00024,19,refactor,functional_area_g,CMP-002,release_candidate,readiness_review,profile_standard,121,1746,892,15,20.6,0,0.353,126.9,-0.67,630,1,,0,48.0,2,0,30.6,readiness_review,quality_regression,1
CHG-00025,16,feature,functional_area_e,CMP-011,release_candidate,component_checks,profile_standard,12,150,150,2,71.3,0,0.302,22.1,-2.54,47,0,1.0,1,72.3,5,0,72.4,expanded_validation,none,0
CHG-00026,13,test,functional_area_d,CMP-003,release_candidate,integrated_checks,profile_extended,9,190,74,2,13.4,0,0.222,61.3,-3.36,26,1,3.0,0,63.7,3,0,59.7,broad_validation,none,0
CHG-00027,9,bugfix,functional_area_g,CMP-015,development,broad_regression_checks,profile_extended,8,99,46,1,27.0,2,0.123,80.7,-0.02,27,0,1.0,0,55.2,2,0,76.4,expanded_validation,none,0
CHG-00028,17,bugfix,functional_area_e,CMP-009,development,component_checks,profile_standard,15,97,89,3,25.2,0,0.071,43.7,1.09,63,0,,0,64.1,3,0,81.4,focused_validation,none,0
CHG-00029,11,dependency,functional_area_e,CMP-001,hotfix,readiness_review,profile_extended,8,167,31,2,41.8,1,0.421,34.8,-0.22,41,0,0.0,0,73.6,4,2,52.1,broad_validation,none,0
CHG-00030,9,feature,functional_area_b,CMP-025,development,integrated_checks,profile_standard,11,107,228,3,30.3,1,0.121,48.5,,59,0,3.0,0,35.0,1,1,79.4,focused_validation,none,0
CHG-00031,10,feature,functional_area_a,CMP-005,development,basic_checks,profile_distributed,9,70,84,1,12.1,1,0.293,53.3,-3.12,32,0,0.0,0,43.7,1,2,55.9,broad_validation,none,0
CHG-00032,5,configuration,functional_area_h,CMP-009,development,basic_checks,profile_standard,8,104,215,2,22.8,3,0.261,27.7,-5.04,39,0,3.0,0,61.2,4,2,44.4,readiness_review,,1
CHG-00033,2,feature,functional_area_d,CMP-018,development,broad_regression_checks,profile_standard,7,75,67,1,,0,0.224,41.3,0.97,22,0,2.0,0,39.6,4,1,72.4,expanded_validation,none,0
CHG-00034,12,refactor,functional_area_c,CMP-016,development,integrated_checks,profile_extended,10,178,79,1,46.5,2,0.29,30.8,0.24,14,0,0.0,0,34.4,1,2,63.0,expanded_validation,none,0
CHG-00035,18,feature,functional_area_d,CMP-027,hotfix,broad_regression_checks,profile_standard,5,78,81,1,71.1,0,0.283,28.5,-1.43,38,1,1.0,1,65.1,2,2,33.2,readiness_review,execution_context_issue,1
CHG-00036,2,feature,functional_area_a,CMP-002,release_candidate,broad_regression_checks,profile_standard,11,345,92,3,61.2,2,0.168,96.8,-1.09,570,1,2.0,0,40.9,2,0,46.9,broad_validation,none,0
CHG-00037,18,feature,functional_area_g,CMP-001,hotfix,component_checks,profile_standard,126,1057,905,15,,0,0.162,95.1,-1.84,580,0,4.0,4,57.8,3,0,40.0,readiness_review,quality_regression,1
CHG-00038,17,bugfix,functional_area_b,CMP-017,development,broad_regression_checks,profile_extended,10,2611,2147,2,54.7,0,0.173,19.8,-0.99,53,0,1.0,0,83.0,3,0,75.6,expanded_validation,none,0
CHG-00039,6,feature,functional_area_f,CMP-002,development,readiness_review,profile_standard,6,100,136,2,55.3,1,0.255,52.5,1.6,24,0,3.0,2,43.3,3,1,74.5,expanded_validation,none,0
CHG-00040,13,feature,functional_area_d,CMP-001,development,basic_checks,profile_distributed,11,210,48,2,79.8,1,0.474,45.4,1.25,68,1,0.0,1,58.1,6,3,40.4,readiness_review,quality_regression,1
CHG-00041,4,test,functional_area_b,CMP-001,development,broad_regression_checks,profile_distributed,9,120,225,2,1.8,1,0.467,40.6,-0.18,41,0,0.0,0,38.8,3,0,86.7,focused_validation,none,0
CHG-00042,16,bugfix,functional_area_a,CMP-003,development,component_checks,profile_extended,9,111,113,2,24.4,1,0.188,40.7,-0.51,28,0,2.0,3,62.1,2,0,76.2,expanded_validation,none,0
CHG-00043,15,bugfix,functional_area_f,CMP-115,release_candidate,component_checks,profile_standard,7,176,70,1,45.2,0,0.053,22.4,0.71,37,0,1.0,0,59.8,3,0,72.7,expanded_validation,none,0
CHG-00044,8,feature,functional_area_a,CMP-001,hotfix,component_checks,profile_distributed,7,117,235,2,19.9,1,0.097,73.3,-7.02,35,0,3.0,0,82.6,5,1,41.6,readiness_review,compatibility_issue,1
CHG-00045,2,bugfix,functional_area_a,CMP-002,development,broad_regression_checks,profile_standard,9,160,145,2,12.4,1,0.256,66.3,-0.12,25,0,1.0,0,46.8,1,0,83.1,focused_validation,none,0
CHG-00046,20,bugfix,functional_area_f,CMP-074,development,basic_checks,profile_dependency,10,1120,1961,2,14.6,1,0.199,30.0,-4.2,59,0,,0,44.5,1,2,52.2,broad_validation,none,0
CHG-00047,9,configuration,functional_area_c,CMP-096,development,component_checks,profile_extended,4,154,47,1,38.9,1,0.286,25.2,1.14,1,0,,0,49.6,1,0,93.4,focused_validation,none,0
CHG-00048,18,feature,functional_area_c,CMP-002,development,integrated_checks,profile_standard,17,305,127,2,21.1,1,0.115,41.6,1.7,63,0,3.0,0,52.1,2,2,60.4,broad_validation,none,0
CHG-00049,14,test,functional_area_b,CMP-059,development,basic_checks,profile_distributed,8,74,184,2,14.8,2,0.156,27.0,-6.24,41,0,3.0,1,55.7,2,1,52.3,broad_validation,quality_regression,1
CHG-00050,16,dependency,functional_area_g,CMP-001,development,broad_regression_checks,profile_standard,17,117,42,2,72.2,3,0.211,25.6,,39,0,3.0,0,40.9,1,0,60.4,broad_validation,none,0
CHG-00051,16,feature,functional_area_b,CMP-029,development,readiness_review,profile_standard,9,176,85,2,38.4,0,0.135,82.0,,47,0,2.0,0,37.6,3,1,65.7,expanded_validation,none,0
CHG-00052,4,feature,functional_area_b,CMP-001,development,basic_checks,profile_standard,4,109,234,1,65.7,1,0.129,28.1,0.96,10,0,3.0,1,29.4,6,2,74.6,expanded_validation,none,0
CHG-00053,8,feature,functional_area_b,CMP-004,release_candidate,basic_checks,profile_extended,6,130,75,1,24.8,0,0.08,67.3,2.3,38,1,0.0,1,54.6,4,1,60.7,broad_validation,none,0
CHG-00054,10,configuration,functional_area_b,CMP-002,development,readiness_review,profile_distributed,9,118,109,2,50.9,1,0.095,45.2,0.57,19,0,2.0,0,24.9,1,0,90.9,focused_validation,none,0
CHG-00055,10,feature,functional_area_b,CMP-021,development,basic_checks,profile_dependency,119,1324,156,18,16.7,1,0.237,101.7,-2.33,477,0,1.0,1,31.5,2,4,12.2,readiness_review,validation_issue,1
CHG-00056,1,test,functional_area_a,CMP-001,development,basic_checks,profile_standard,10,3902,720,2,21.1,1,0.119,56.7,-3.13,37,0,3.0,2,48.1,1,2,63.0,expanded_validation,none,0
CHG-00057,11,refactor,functional_area_a,CMP-006,development,readiness_review,profile_extended,11,129,165,2,24.2,1,0.082,44.3,-2.09,56,0,0.0,0,61.3,1,0,74.0,expanded_validation,none,0
CHG-00058,4,test,functional_area_c,CMP-020,development,broad_regression_checks,profile_extended,9,202,99,1,21.3,0,0.295,132.8,4.67,806,1,2.0,2,46.6,1,1,70.6,expanded_validation,none,0
CHG-00059,15,configuration,functional_area_g,CMP-001,release_candidate,integrated_checks,profile_extended,9,50,90,1,14.1,0,0.169,46.1,2.43,54,1,2.0,0,95.9,1,0,55.9,broad_validation,none,0
CHG-00060,14,dependency,functional_area_a,CMP-065,release_candidate,integrated_checks,profile_standard,10,2709,2774,2,22.3,0,0.24,29.9,1.13,83,0,3.0,1,68.9,3,0,79.7,focused_validation,none,0
CHG-00061,19,feature,functional_area_b,CMP-003,development,broad_regression_checks,profile_standard,7,97,101,1,10.6,0,0.256,28.5,-2.22,47,1,1.0,0,55.3,2,0,58.4,broad_validation,execution_context_issue,0
CHG-00062,15,bugfix,functional_area_g,CMP-001,development,integrated_checks,profile_distributed,11,64,56,2,32.5,0,0.338,27.7,,61,0,2.0,1,33.9,2,2,69.1,expanded_validation,none,0
CHG-00063,8,bugfix,functional_area_g,CMP-002,development,integrated_checks,profile_standard,5,75,98,1,58.3,1,0.269,39.9,-1.11,13,0,1.0,1,61.3,1,1,73.7,expanded_validation,none,0
CHG-00064,20,dependency,functional_area_e,CMP-003,development,broad_regression_checks,profile_standard,8,87,89,1,19.5,1,0.079,31.6,5.04,48,0,0.0,0,61.2,1,2,67.9,expanded_validation,execution_context_issue,0
CHG-00065,9,configuration,functional_area_b,CMP-001,development,integrated_checks,profile_extended,11,212,45,3,28.0,0,0.081,26.1,,81,0,,0,36.8,1,1,71.1,expanded_validation,none,0
CHG-00066,7,test,functional_area_c,CMP-007,release_candidate,integrated_checks,profile_standard,7,82,202,1,55.2,0,0.243,40.3,-2.11,33,0,1.0,0,64.6,3,1,61.7,broad_validation,validation_issue,0
CHG-00067,19,feature,functional_area_b,CMP-014,development,component_checks,profile_standard,10,197,22,2,73.2,0,0.076,24.8,-1.74,22,0,1.0,0,76.5,1,0,76.3,expanded_validation,none,0
CHG-00068,8,dependency,functional_area_a,CMP-005,development,integrated_checks,profile_standard,8,136,108,2,52.8,0,0.125,57.0,-0.49,37,0,0.0,0,56.2,4,0,83.9,focused_validation,none,0
CHG-00069,2,configuration,functional_area_c,CMP-005,development,integrated_checks,profile_extended,4,102,29,1,33.0,0,0.397,45.5,3.04,40,0,2.0,1,65.6,2,1,81.2,focused_validation,none,0
CHG-00070,10,configuration,functional_area_d,CMP-033,development,component_checks,profile_dependency,15,445,162,2,42.6,1,0.387,62.9,2.03,46,1,0.0,0,46.6,4,3,44.1,readiness_review,validation_issue,1
CHG-00071,16,dependency,functional_area_c,CMP-002,hotfix,component_checks,profile_standard,9,135,36,2,44.9,1,0.073,33.5,-5.37,49,0,2.0,1,41.9,3,1,50.8,broad_validation,none,0
CHG-00072,4,bugfix,functional_area_e,CMP-013,development,broad_regression_checks,profile_standard,7,120,35,1,,1,0.308,33.6,0.9,11,0,1.0,0,59.7,2,1,72.3,expanded_validation,none,0
CHG-00073,10,bugfix,functional_area_b,CMP-063,development,component_checks,profile_distributed,8,206,53,2,21.0,0,0.347,45.2,2.67,26,0,,2,49.5,3,1,86.1,focused_validation,none,0
CHG-00074,3,configuration,functional_area_b,CMP-002,development,basic_checks,profile_standard,5,111,46,1,49.2,0,0.162,14.0,,19,0,4.0,0,55.9,1,1,76.9,expanded_validation,none,0
CHG-00075,14,feature,functional_area_f,CMP-013,release_candidate,component_checks,profile_dependency,10,61,32,2,57.7,2,0.122,22.8,,58,1,3.0,0,64.8,5,1,44.3,readiness_review,quality_regression,1
CHG-00076,10,bugfix,functional_area_g,CMP-088,development,component_checks,profile_extended,9,165,116,1,5.3,0,0.25,31.0,4.41,27,0,3.0,2,39.4,4,1,92.8,focused_validation,none,0
CHG-00077,7,feature,functional_area_b,CMP-008,development,broad_regression_checks,profile_standard,117,546,596,19,24.4,2,0.146,50.6,1.26,295,1,0.0,1,53.0,2,1,30.5,readiness_review,validation_issue,1
CHG-00078,5,feature,functional_area_d,CMP-105,development,component_checks,profile_standard,8,194,92,2,40.4,0,0.099,21.9,1.23,37,0,0.0,2,41.8,5,0,81.8,focused_validation,none,0
CHG-00079,12,test,functional_area_b,CMP-003,development,component_checks,profile_standard,12,178,127,3,35.5,0,0.254,46.6,0.44,58,1,0.0,0,35.5,4,2,66.5,expanded_validation,none,0
CHG-00080,14,configuration,functional_area_a,CMP-010,release_candidate,broad_regression_checks,profile_distributed,14,373,96,2,40.9,0,0.211,42.3,-0.5,49,0,2.0,2,76.5,2,2,62.6,expanded_validation,compatibility_issue,1
CHG-00081,19,bugfix,functional_area_f,CMP-003,development,basic_checks,profile_standard,7,75,129,1,15.5,0,0.268,43.2,1.24,47,0,4.0,1,38.5,2,1,81.2,focused_validation,none,0
CHG-00082,9,bugfix,functional_area_a,CMP-001,development,basic_checks,profile_dependency,10,148,205,2,5.0,1,0.384,35.6,-1.35,24,1,2.0,0,49.6,3,5,20.7,readiness_review,validation_issue,1
CHG-00083,4,bugfix,functional_area_c,CMP-119,development,broad_regression_checks,profile_distributed,131,653,441,12,33.9,1,0.17,111.2,0.19,585,1,,1,37.8,2,1,32.8,readiness_review,execution_context_issue,1
CHG-00084,17,refactor,functional_area_c,CMP-002,development,integrated_checks,profile_dependency,8,128,73,2,29.6,0,0.408,302.3,,29,0,3.0,1,75.1,5,3,52.9,broad_validation,quality_regression,1
CHG-00085,13,dependency,functional_area_b,CMP-102,development,broad_regression_checks,profile_dependency,11,147,82,2,57.0,1,0.158,45.0,,47,0,2.0,1,59.8,3,2,50.7,broad_validation,validation_issue,1
CHG-00086,15,dependency,functional_area_a,CMP-016,release_candidate,broad_regression_checks,profile_standard,6,32,59,1,40.7,0,0.107,45.8,-1.23,36,0,,0,48.1,4,2,67.7,expanded_validation,,0
CHG-00087,2,bugfix,functional_area_b,CMP-067,development,readiness_review,profile_standard,9,106,117,1,5.4,0,0.096,72.1,2.81,29,0,2.0,0,52.1,4,1,97.7,focused_validation,none,0
CHG-00088,7,bugfix,functional_area_h,CMP-099,development,basic_checks,profile_distributed,8,198,23,1,41.3,1,0.086,66.3,1.62,38,0,1.0,0,52.4,2,2,61.3,broad_validation,none,0
CHG-00089,16,bugfix,functional_area_e,CMP-010,development,broad_regression_checks,profile_standard,11,102,50,2,66.7,1,0.429,100.9,0.74,553,0,1.0,1,53.7,3,0,92.9,focused_validation,none,0
CHG-00090,17,configuration,functional_area_c,CMP-120,release_candidate,integrated_checks,profile_standard,12,221,128,3,55.9,2,0.219,39.1,0.47,87,0,1.0,2,54.1,3,2,53.1,broad_validation,compatibility_issue,1
CHG-00091,9,bugfix,functional_area_a,CMP-030,development,basic_checks,profile_standard,15,167,132,3,40.8,2,0.106,41.4,-5.03,93,0,1.0,2,41.2,2,1,51.3,broad_validation,compatibility_issue,1
CHG-00092,17,refactor,functional_area_e,CMP-008,development,readiness_review,profile_standard,4,51,82,1,22.6,0,0.239,37.6,,8,0,4.0,0,75.7,2,2,70.8,expanded_validation,none,0
CHG-00093,17,configuration,functional_area_a,CMP-016,development,component_checks,profile_dependency,12,251,200,3,27.6,1,0.181,36.4,-3.21,57,0,4.0,0,37.7,2,3,40.2,readiness_review,validation_issue,1
CHG-00094,8,bugfix,functional_area_d,CMP-001,development,broad_regression_checks,profile_standard,7,117,113,1,27.1,3,0.25,41.2,-1.56,61,1,1.0,3,35.3,3,0,59.8,broad_validation,quality_regression,1
CHG-00095,18,bugfix,functional_area_f,CMP-001,hotfix,integrated_checks,profile_extended,11,170,31,2,45.0,0,0.151,50.2,7.09,65,0,2.0,2,40.8,3,2,70.6,expanded_validation,execution_context_issue,0
CHG-00096,6,bugfix,functional_area_c,CMP-002,development,integrated_checks,profile_dependency,7,83,215,2,43.4,1,0.056,46.0,0.86,30,0,1.0,0,47.9,1,2,62.3,expanded_validation,none,0
CHG-00097,5,feature,functional_area_b,CMP-005,development,basic_checks,profile_standard,13,209,104,2,32.4,1,0.243,28.8,-0.1,55,0,2.0,0,31.4,1,2,60.7,broad_validation,none,0
CHG-00098,14,feature,functional_area_a,CMP-002,development,broad_regression_checks,profile_distributed,12,4548,1320,3,53.4,1,0.437,33.3,-0.61,72,0,4.0,1,87.2,3,0,57.2,broad_validation,none,0
CHG-00099,13,refactor,functional_area_a,CMP-007,development,integrated_checks,profile_standard,10,175,122,2,19.3,2,0.097,49.4,2.78,62,0,2.0,1,30.2,3,1,78.6,focused_validation,none,0
CHG-00100,3,bugfix,functional_area_c,CMP-016,development,basic_checks,profile_standard,8,198,41,1,50.9,1,0.065,47.0,-2.98,40,0,2.0,0,39.7,1,2,64.7,expanded_validation,none,0
CHG-00101,17,feature,functional_area_g,CMP-016,development,basic_checks,profile_standard,8,140,34,2,74.0,1,0.303,35.3,-1.89,13,0,1.0,1,86.8,3,3,41.7,readiness_review,compatibility_issue,1
CHG-00102,4,configuration,functional_area_b,CMP-063,development,broad_regression_checks,profile_standard,9,134,38,2,62.7,1,0.383,28.5,,34,0,0.0,1,69.3,1,0,81.1,focused_validation,none,0
CHG-00103,17,refactor,functional_area_d,CMP-098,release_candidate,basic_checks,profile_standard,3,217,16,1,51.2,0,0.235,29.5,-0.27,15,1,2.0,0,34.8,1,2,58.5,broad_validation,none,0
CHG-00104,1,bugfix,functional_area_e,CMP-062,release_candidate,integrated_checks,profile_standard,10,320,89,2,22.2,2,0.189,37.3,0.9,40,0,2.0,1,64.2,2,0,64.4,expanded_validation,none,0
CHG-00105,16,test,functional_area_a,CMP-013,development,integrated_checks,profile_standard,11,292,100,2,37.6,0,0.21,403.7,-1.51,32,1,0.0,0,55.8,1,0,71.9,expanded_validation,none,0
CHG-00106,16,dependency,functional_area_a,CMP-001,hotfix,component_checks,profile_standard,9,171,56,1,67.4,0,0.025,23.1,1.2,29,1,,1,54.2,3,1,57.7,broad_validation,none,0
CHG-00107,16,configuration,functional_area_b,CMP-085,hotfix,integrated_checks,profile_extended,10,180,71,2,44.6,1,0.272,26.3,-1.5,30,0,0.0,0,79.8,1,1,51.7,broad_validation,execution_context_issue,0
CHG-00108,14,refactor,functional_area_e,CMP-001,development,component_checks,profile_standard,8,155,52,2,36.4,1,0.397,42.8,-4.05,62,0,1.0,0,29.2,3,1,64.0,expanded_validation,none,0
CHG-00109,10,feature,functional_area_c,CMP-001,development,readiness_review,profile_distributed,5,39,54,2,44.4,1,0.167,49.8,2.42,17,0,2.0,1,24.6,1,0,90.6,focused_validation,none,0
CHG-00110,15,dependency,functional_area_f,CMP-003,development,broad_regression_checks,profile_dependency,11,184,116,2,86.1,2,0.362,43.8,-2.59,62,0,0.0,0,67.1,1,2,41.9,readiness_review,quality_regression,1
CHG-00111,6,bugfix,functional_area_g,CMP-010,development,component_checks,profile_extended,9,157,97,2,61.5,0,0.404,30.3,-3.61,44,0,3.0,1,61.0,2,3,46.5,broad_validation,quality_regression,1
CHG-00112,16,dependency,functional_area_f,CMP-019,development,integrated_checks,profile_extended,6,124,83,1,78.1,1,0.288,24.3,-2.36,15,0,1.0,0,81.3,2,0,70.2,expanded_validation,none,0
CHG-00113,12,configuration,functional_area_h,CMP-001,development,integrated_checks,profile_extended,13,210,299,3,59.7,1,0.236,27.8,-0.15,67,0,1.0,3,50.2,1,1,75.2,expanded_validation,none,0
CHG-00114,10,feature,functional_area_f,CMP-032,hotfix,readiness_review,profile_extended,6,151,44,1,27.8,1,0.136,27.2,-1.77,43,0,2.0,2,94.8,3,0,63.3,expanded_validation,none,0
CHG-00115,11,feature,functional_area_g,CMP-001,development,component_checks,profile_dependency,3,75,95,1,16.5,1,0.198,27.3,3.98,4,0,2.0,0,42.9,1,3,66.8,expanded_validation,execution_context_issue,0
CHG-00116,12,refactor,functional_area_g,CMP-002,release_candidate,integrated_checks,profile_dependency,4,58,90,1,27.4,0,0.288,85.6,,452,1,0.0,0,82.2,4,3,41.2,readiness_review,validation_issue,1
CHG-00117,1,configuration,functional_area_f,CMP-003,development,readiness_review,profile_standard,11,98,147,2,35.4,2,0.269,85.0,0.21,567,0,1.0,0,81.7,1,0,57.0,broad_validation,none,0
CHG-00118,3,feature,functional_area_f,CMP-003,development,basic_checks,profile_extended,12,233,103,2,57.6,0,0.093,78.2,,48,1,1.0,0,37.2,1,3,37.9,readiness_review,validation_issue,1
CHG-00119,5,refactor,functional_area_g,CMP-029,release_candidate,integrated_checks,profile_distributed,133,1432,1129,19,52.0,0,0.181,104.5,,595,0,1.0,0,35.2,1,1,20.7,readiness_review,quality_regression,1
CHG-00120,3,test,functional_area_c,CMP-001,development,basic_checks,profile_standard,14,98,80,3,19.2,2,0.07,37.7,0.11,88,0,3.0,0,55.4,2,3,57.7,broad_validation,insufficient_evidence,1
CHG-00121,9,configuration,functional_area_e,CMP-001,development,integrated_checks,profile_standard,11,370,93,2,37.0,0,0.168,35.7,-1.91,67,0,4.0,0,55.0,1,1,76.0,expanded_validation,none,0
CHG-00122,14,bugfix,functional_area_d,CMP-001,development,component_checks,profile_extended,10,175,145,2,66.9,2,0.059,63.3,0.37,45,0,4.0,0,49.3,2,1,66.1,expanded_validation,validation_issue,0
CHG-00123,14,feature,functional_area_g,CMP-032,release_candidate,readiness_review,profile_extended,6,157,76,1,19.7,0,0.119,39.1,0.56,23,0,1.0,2,79.3,4,0,71.2,expanded_validation,none,0
CHG-00124,10,test,functional_area_c,CMP-109,development,component_checks,profile_standard,9,107,85,1,30.4,0,0.155,27.1,-1.83,35,1,3.0,0,33.9,1,0,83.5,focused_validation,none,0
CHG-00125,18,bugfix,functional_area_f,CMP-016,development,basic_checks,profile_standard,8,114,106,1,26.7,2,0.087,28.7,-3.7,21,0,4.0,0,49.9,3,2,56.0,broad_validation,none,0
CHG-00126,12,test,functional_area_f,CMP-011,development,broad_regression_checks,profile_standard,11,96,95,2,54.5,3,0.305,38.7,,55,0,1.0,1,39.5,4,1,67.6,expanded_validation,none,0
CHG-00127,2,bugfix,functional_area_h,CMP-069,development,broad_regression_checks,profile_extended,14,277,50,3,79.9,0,0.217,30.7,1.47,64,0,3.0,1,77.9,4,1,74.4,expanded_validation,none,0
CHG-00128,16,configuration,functional_area_b,CMP-002,development,integrated_checks,profile_dependency,10,172,148,2,,3,0.146,67.2,-1.24,68,0,2.0,0,64.2,1,5,26.7,readiness_review,execution_context_issue,1
CHG-00129,12,bugfix,functional_area_f,CMP-001,development,broad_regression_checks,profile_dependency,10,3876,2156,2,22.1,1,0.169,88.8,0.89,36,0,1.0,0,40.5,1,2,66.4,expanded_validation,none,0
CHG-00130,13,feature,functional_area_f,CMP-007,development,component_checks,profile_standard,11,214,253,3,13.8,2,0.199,33.8,1.93,29,1,3.0,1,52.6,3,1,52.3,broad_validation,insufficient_evidence,1
CHG-00131,12,test,functional_area_g,CMP-002,development,integrated_checks,profile_standard,4,141,249,1,34.3,0,0.03,26.9,-0.89,9,0,2.0,0,49.1,3,0,79.5,focused_validation,none,0
CHG-00132,12,configuration,functional_area_g,CMP-005,development,basic_checks,profile_distributed,7,135,109,1,56.3,0,0.203,25.1,-1.09,30,0,1.0,0,30.8,2,2,75.4,expanded_validation,none,0
CHG-00133,2,configuration,functional_area_d,CMP-005,release_candidate,basic_checks,profile_distributed,12,261,191,2,,2,0.439,64.7,3.61,37,0,1.0,0,89.3,2,3,36.2,readiness_review,validation_issue,1
